Id	Name
C0004138	Ataxias, Hereditary
C0004144	Atelectasis
C0004153	Atherosclerosis
C0004158	Athetosis
C0004238	Atrial Fibrillation
C0004239	Atrial Flutter
C0004245	Atrioventricular Block
C0004269	Child attention deficit disorder
C0004277	Tooth Attrition
C0004310	Auditory Perceptual Disorders
C0004331	Auriculo-Ventricular Dissociation
C0004352	Autistic Disorder
C0004364	Autoimmune Diseases
C0004368	Autoimmune state
C0004403	Autosome Abnormalities
C0004426	Sarcoma, Avian
C0004444	Avoidant Personality Disorder
C0004509	Azoospermia
C0004565	Melanoma, B16
C0004576	Babesiosis
C0004604	Back Pain
C0004606	Nonproliferative diabetic retinopathy
C0004608	Retinopathy background
C0004610	Bacteremia
C0004623	Bacterial Infections
C0004626	Pneumonia, Bacterial
C0004659	Bacteriuria
C0004669	Bacteroides Infections
C0004681	Bagassosis
C0004698	Balkan Nephropathy
C0004712	Balo's Concentric Sclerosis
C0004763	Barrett Esophagus
C0004771	Bartonella Infections
C0004775	Bartter Disease
C0004779	Basal Cell Nevus Syndrome
C0004782	Basal Ganglia Diseases
C0004903	Beckwith-Wiedemann Syndrome
C0004930	Behavior Disorders
C0004936	Mental disorders
C0004941	Behavioral Symptoms
C0004943	Behcet Syndrome
C0004945	Bejel
C0004991	Benign neoplasm of colon
C0004997	Benign Ovarian Neoplasm
C0004998	Benign neoplasm of skin
C0005001	Benign prostatic hypertrophy
C0005122	Beriberi
C0005129	Bernard-Soulier Syndrome
C0005136	Berry Aneurysm
C0005138	Berylliosis
C0005146	Besnoitiasis
C0005283	beta Thalassemia
C0005395	Bile Duct Diseases
C0005396	Bile Duct Neoplasms
C0005398	Cholestasis, Extrahepatic
C0005403	Bile Reflux
C0005411	Biliary Atresia
C0005424	Biliary Tract Diseases
C0005426	Biliary Tract Neoplasm
C0005586	Bipolar Disorder
C0005587	Depression, Bipolar
C0005612	Birth Weight
C0005683	Urinary Bladder Calculi (disorder)
C0005684	Malignant neoplasm of urinary bladder
C0005686	Urinary Bladder Diseases
C0005689	Bladder Exstrophy
C0005694	Bladder neck obstruction
C0005695	Bladder Neoplasm
C0005697	Neurogenic Urinary Bladder
C0005699	Blast Phase
C0005716	Blastomycosis
C0005723	Oral paracoccidioidomycosis
C0005741	Blepharitis
C0005742	Blepharochalasis
C0005744	Blepharophimosis
C0005745	Blepharoptosis
C0005747	Blepharospasm
C0005750	Blind Loop Syndrome
C0005754	Congenital blindness
C0005758	Bulla
C0005779	Blood Coagulation Disorders
C0005806	Blood Group Incompatibility
C0005818	Blood Platelet Disorders
C0005823	Blood Pressure
C0005833	Blood Sedimentation
C0005845	Blood urea nitrogen measurement
C0005848	Blood Viscosity
C0005859	Bloom Syndrome
C0005866	Bluetongue infection
C0005874	Blushing
C0005887	Body Dysmorphic Disorders
C0005890	Body Height
C0005893	Body mass index procedure
C0005899	Body Rocking
C0005904	Body Temperature Changes
C0005910	Body Weight
C0005911	Body Weight Changes
C0005937	Bone Cysts
C0005938	Bone Density
C0005940	Bone Diseases
C0005941	Bone Diseases, Developmental
C0005942	Bone Diseases, Endocrine
C0005944	Metabolic Bone Disorder
C0005956	Bone Marrow Diseases
C0005967	Bone neoplasms
C0005974	Bone Resorption
C0006008	Border Disease
C0006009	Borderline intellectual disability
C0006012	Borderline Personality Disorder
C0006015	Bordetella Infections
C0006023	Borna Disease
C0006035	Borrelia Infections
C0006060	Boutonneuse Fever
C0006079	Bowen's Disease
C0006091	Brachial plexus lesion
C0006105	Brain Abscess
C0006109	Brain Damage, Chronic
C0006110	Brain Death
C0006111	Brain Diseases
C0006112	Brain Diseases, Metabolic
C0006114	Cerebral Edema
C0006118	Brain Neoplasms
C0006131	Branchioma
C0006142	Malignant neoplasm of breast
C0006144	Breast Cyst
C0006145	Breast Diseases
C0006157	Breech Presentation
C0006160	Brenner Tumor
C0006261	Bronchial Diseases
C0006262	Bronchial Fistula
C0006264	Bronchial Neoplasms
C0006266	Bronchospasm
C0006267	Bronchiectasis
C0006271	Bronchiolitis
C0006272	Bronchiolitis Obliterans
C0006274	Bronchiolitis, Viral
C0006277	Bronchitis
C0006281	Congenital bronchogenic cyst
C0006285	Bronchopneumonia
C0006287	Bronchopulmonary Dysplasia
C0006288	Bronchopulmonary Sequestration
C0006309	Brucellosis
C0006325	Bruxism
C0006370	Bulimia
C0006384	Bundle-Branch Block
C0006386	Bunion
C0006413	Burkitt Lymphoma
C0006430	Burning Mouth Syndrome
C0006444	Bursitis
C0006542	Byssinosis
C0006625	Cachexia
C0006635	Cadmium poisoning
C0006663	Calcinosis
C0006664	Calcinosis cutis
C0006666	Calciphylaxis
C0006705	Calcium Metabolism Disorders
C0006818	Campylobacter infection
C0006826	Malignant Neoplasms
C0006840	Candidiasis
C0006845	Candidiasis, Chronic Mucocutaneous
C0006846	Cutaneous Candidiasis
C0006848	Mucocutaneous candidiasis
C0006849	Oral candidiasis
C0006852	Candidiasis of vagina
C0006868	Cannabis Abuse
C0006870	Cannabis Dependence
C0006897	Capillariasis
C0006902	Capillaritis
C0006905	Capillary Fragility
C0006915	Caplan Syndrome
C0007001	Carbohydrate Metabolism, Inborn Errors
C0007020	Carbon Monoxide Poisoning
C0007093	Carcinoid Heart Disease
C0007095	Carcinoid Tumor
C0007097	Carcinoma
C0007102	Malignant tumor of colon
C0007103	Malignant neoplasm of endometrium
C0007104	Female Breast Carcinoma
C0007107	Malignant neoplasm of larynx
C0007112	Adenocarcinoma of prostate
C0007113	Rectal Carcinoma
C0007114	Malignant neoplasm of skin
C0007115	Malignant neoplasm of thyroid
C0007117	Basal cell carcinoma
C0007118	Carcinoma, Basosquamous
C0007120	Bronchioloalveolar Adenocarcinoma
C0007121	Bronchogenic Carcinoma
C0007124	Noninfiltrating Intraductal Carcinoma
C0007125	Carcinoma, Ehrlich Tumor
C0007129	Merkel cell carcinoma
C0007130	Mucinous Adenocarcinoma
C0007131	Non-Small Cell Lung Carcinoma
C0007133	Carcinoma, Papillary
C0007134	Renal Cell Carcinoma
C0007135	Adenocarcinoma, Scirrhous
C0007137	Squamous cell carcinoma
C0007138	Carcinoma, Transitional Cell
C0007140	Carcinosarcoma
C0007166	Low Cardiac Output
C0007177	Cardiac Tamponade
C0007192	Cardiomyopathy, Alcoholic
C0007193	Cardiomyopathy, Dilated
C0007194	Hypertrophic Cardiomyopathy
C0007196	Restrictive cardiomyopathy
C0007222	Cardiovascular Diseases
C0007273	Carotid Artery Diseases
C0007274	Carotid Artery Thrombosis
C0007279	Carotid Body Paraganglioma
C0007282	Carotid Stenosis
C0007286	Carpal Tunnel Syndrome
C0007302	Cartilage Diseases
C0007361	Cat-Scratch Disease
C0007370	Catalepsy
C0007384	Cataplexy
C0007397	Catastrophic Illness
C0007398	Catatonia
C0007462	Causalgia
C0007528	Cecal Neoplasms
C0007570	Celiac Disease
C0007621	Neoplastic Cell Transformation
C0007642	Cellulitis
C0007645	Cellulitis and abscess NOS (disorder)
C0007659	Cementoma
C0007682	CNS disorder
C0007684	Central Nervous System Infection
C0007688	Central Retinal Artery Occlusion
C0007722	Cephalhematoma due to birth trauma
C0007758	Cerebellar Ataxia
C0007760	Cerebellar Diseases
C0007761	Myoclonic Cerebellar Dyssynergia
C0007762	Cerebellar Neoplasms
C0007766	Intracranial Aneurysm
C0007771	Intracranial Arteriosclerosis
C0007772	Intracranial Arteriovenous Malformation
C0007773	Cerebral arteritis
C0007775	Cerebral Atherosclerosis
C0007780	Cerebral Embolism
C0007781	Intracranial Embolism and Thrombosis
C0007785	Cerebral Infarction
C0007786	Brain Ischemia
C0007787	Transient Ischemic Attack
C0007789	Cerebral Palsy
C0007795	Diffuse Cerebral Sclerosis of Schilder
C0007815	Cerebrospinal Fluid Rhinorrhea
C0007820	Cerebrovascular Disorders
C0007847	Malignant tumor of cervix
C0007852	Cervical Migraine Syndrome
C0007855	Cervical polyp
C0007859	Neck Pain
C0007860	Uterine Cervicitis
C0007862	Cervico-Brachial Neuralgia
C0007867	Cervix Diseases
C0007868	Cervical dysplasia
C0007871	Uterine Cervical Incompetence
C0007873	Uterine Cervical Neoplasm
C0007894	Cestode Infections
C0007930	Chagas Cardiomyopathy
C0007932	Chagas' disease without mention of organ involvement
C0007933	Meibomian Cyst
C0007939	Syphilitic chancre
C0007947	Chancroids
C0007959	Charcot-Marie-Tooth Disease
C0007965	Chediak-Higashi Syndrome
C0007971	Cheilitis
C0008029	Cherubism
C0008031	Chest Pain
C0008033	Pleuritic pain
C0008039	Cheyne-Stokes Respiration
C0008043	Chiari-Frommel Syndrome
C0008055	Chikungunya Fever
C0008058	Chilblains
C0008060	child abuse behavior
C0008062	Child Sexual Abuse
C0008073	Developmental Disabilities
C0008074	Child Development Disorders, Pervasive
C0008149	Chlamydia Infections
C0008170	Chloramphenicol Resistance
C0008272	Asiderotic anemia
C0008297	Choanal Atresia
C0008298	Polyp in nasopharynx
C0008301	Choking
C0008309	Bile duct adenoma
C0008311	Cholangitis
C0008312	Primary biliary cirrhosis
C0008313	Cholangitis, Sclerosing
C0008325	Cholecystitis
C0008340	Choledochal Cyst
C0008350	Cholelithiasis
C0008352	Cholemia
C0008354	Cholera
C0008370	Cholestasis
C0008372	Intrahepatic Cholestasis
C0008373	Cholesteatoma
C0008384	Cholesterol Ester Storage Disease
C0008412	Choline Deficiency
C0008439	Chondritis
C0008441	Chondroblastoma
C0008445	Chondrodysplasia Punctata
C0008449	Congenital anomaly of cartilage
C0008476	Chondromatosis, Synovial
C0008479	Chondrosarcoma
C0008487	Chordoma
C0008489	Chorea
C0008493	Hydatidiform Mole, Invasive
C0008495	Chorioamnionitis
C0008497	Choriocarcinoma
C0008513	Chorioretinitis
C0008519	Ectopic Tissue
C0008521	Choroid Diseases
C0008522	Choroid Hemorrhage
C0008525	Choroideremia
C0008526	Choroiditis
C0008533	Hemophilia B
C0008582	Chromoblastomycosis
C0008625	Chromosome Aberrations
C0008626	Congenital chromosomal disease
C0008628	Chromosome Deletion
C0008677	Bronchitis, Chronic
C0008680	Cryptogenic pulmonary eosinophilia
C0008684	Chronic gingivitis
C0008690	Chronic anterior uveitis
C0008698	Chronic maxillary sinusitis
C0008701	Chronic Motor or Vocal Tic Disorder
C0008707	Chronic osteomyelitis
C0008711	Chronic rhinitis
C0008728	Eosinophilic granulomatosis with polyangiitis
C0008732	Chylous Ascites
C0008733	Chylothorax
C0008767	Cicatrization
C0008780	Ciliary Motility Disorders
C0008810	Circadian Rhythms
C0008909	Claustrophobia
C0008924	Cleft upper lip
C0008925	Cleft Palate
C0008928	Cleidocranial Dysplasia
C0009021	Clonorchiasis
C0009024	Clonus
C0009075	Melanoma, Cloudman S91
C0009080	Clubbed Fingers
C0009081	Congenital clubfoot
C0009084	Cluster A personality disorder
C0009086	Cluster B personality disorder
C0009087	Cluster C personality disorder
C0009088	Cluster Headache
C0009090	Cluttering
C0009171	Cocaine Abuse
C0009176	Cocaine intoxication
C0009178	Cocaine withdrawal
C0009186	Coccidioidomycosis
C0009187	Coccidiosis
C0009197	Cochlear Diseases
C0009207	Cockayne Syndrome
C0009225	Coenuriasis
C0009241	Cognition Disorders
C0009319	Colitis
C0009324	Ulcerative Colitis
C0009326	Collagen Diseases
C0009363	Congenital ocular coloboma (disorder)
C0009373	Colonic Diseases
C0009374	Colonic Diseases, Functional
C0009375	Colonic Neoplasms
C0009376	Colonic Polyps
C0009398	Color vision defect
C0009402	Colorectal Carcinoma
C0009404	Colorectal Neoplasms
C0009405	Hereditary Nonpolyposis Colorectal Neoplasms
C0009421	Comatose
C0009426	Combat Disorders
C0009438	Common Bile Duct Calculi
C0009439	Choledochal Cyst, Type I
C0009443	Common Cold
C0009447	Common Variable Immunodeficiency
C0009451	Communicating Hydrocephalus
C0009460	Communication impairment
C0009492	Compartment syndromes
C0009595	Obsessive-Compulsive Personality
C0009663	Condylomata Acuminata
C0009676	Confusion
C0009677	Congenital macroglossia
C0009681	Anomalous pulmonary artery
C0009691	Congenital cataract
C0009701	Congenital dislocation
C0009714	Hepatic Fibrosis, Congenital
C0009730	Spinal meningocele
C0009759	Conjunctival Diseases
C0009761	Conjunctival Neoplasms
C0009763	Conjunctivitis
C0009765	Conjunctivitis, Acute Hemorrhagic
C0009766	Allergic Conjunctivitis
C0009769	Conjunctivitis, Giant Papillary
C0009774	Viral Conjunctivitis
C0009777	Conn Adenoma
C0009782	Connective Tissue Diseases
C0009792	Consciousness Disorders
C0009806	Constipation
C0009812	Constitutional Symptom
C0009917	Contracture
C0009918	Contracture of joint
C0009928	Contrast Sensitivity
C0009946	Conversion disorder
C0009952	Febrile Convulsions
C0009995	Cor Triatriatum
C0010034	Corneal Diseases
C0010035	Hereditary corneal dystrophy
C0010036	Corneal dystrophy
C0010038	Corneal Opacity
C0010043	Corneal Ulcer
C0010046	Corn of toe
C0010051	Coronary Aneurysm
C0010054	Coronary Arteriosclerosis
C0010068	Coronary heart disease
C0010072	Coronary Thrombosis
C0010073	Coronary Artery Vasospasm
C0010074	Coronary Vessel Anomalies
C0010093	Corpus Luteum Cyst
C0010200	Coughing
C0010201	Chronic cough
C0010232	Cowpox
C0010246	Coxsackievirus Infections
C0010266	Cranial nerve diseases
C0010273	Craniofacial Dysostosis
C0010276	Craniopharyngioma
C0010278	Craniosynostosis
C0010308	Congenital Hypothyroidism
C0010314	Cri-du-Chat Syndrome
C0010324	Crigler Najjar syndrome, type 1
C0010334	Crisscross Heart
C0010346	Crohn Disease
C0010380	Croup
C0010392	Crush syndrome
C0010398	Cruveilhier-Baumgarten Syndrome
C0010403	Cryoglobulinemia
C0010414	Infection by Cryptococcus neoformans
C0010417	Cryptorchidism
C0010418	Cryptosporidiosis
C0010474	Curling Ulcer
C0010481	Cushing Syndrome
C0010495	Cutis Laxa
C0010520	Cyanosis
C0010598	Cyclothymic Disorder
C0010606	Adenoid Cystic Carcinoma
C0010626	Embryonic cyst
C0010631	Cystadenocarcinoma
C0010633	Cystadenoma
C0010635	Cystadenoma, Mucinous
C0010668	Cystic Adenomatoid Malformation of Lung, Congenital
C0010673	Endometrial cystic hyperplasia
C0010674	Cystic Fibrosis
C0010678	Cysticercosis
C0010691	Cystinuria
C0010692	Cystitis
C0010695	Cystocele
C0010701	Phyllodes Tumor
C0010709	Cyst
C0010823	Cytomegalovirus Infections
C0010930	Dacryocystitis
C0010964	Dandy-Walker Syndrome
C0011052	Prelingual Deafness
C0011053	Deafness
C0011057	Hearing Loss, Sudden
C0011071	Sudden death
C0011103	Decerebrate State
C0011119	Decompression Sickness
C0011127	Pressure Ulcer
C0011168	Deglutition Disorders
C0011175	Dehydration
C0011195	Dejerine-Sottas Disease (disorder)
C0011206	Delirium
C0011226	Hepatitis D Infection
C0011251	Delusional disorder
C0011253	Delusions
C0011263	Multi-infarct dementia
C0011265	Presenile dementia
C0011268	Senile dementia
C0011269	Dementia, Vascular
C0011302	Demyelinating disease of central nervous system
C0011303	Demyelinating Diseases
C0011304	Demyelination
C0011311	Dengue Fever
C0011320	Dens in Dente
C0011330	Dental Calculus
C0011334	Dental caries
C0011351	Dental Enamel Hypoplasia
C0011389	Dental Plaque
C0011405	Dental Pulp Diseases
C0011406	Dental Pulp Exposure
C0011407	Dental Pulp Necrosis
C0011428	Dentigerous Cyst
C0011430	Dentin Dysplasia
C0011432	Dentin Sensitivity
C0011434	Dentin, Secondary
C0011436	Dentinogenesis Imperfecta
C0011548	Dependent Personality Disorder
C0011551	Depersonalization
C0011570	Mental Depression
C0011573	Endogenous depression
C0011574	Involutional Depression
C0011579	Reactive depression
C0011581	Depressive disorder
C0011603	Dermatitis
C0011606	Exfoliative dermatitis
C0011608	Dermatitis Herpetiformis
C0011609	Drug Eruptions
C0011615	Dermatitis, Atopic
C0011616	Contact Dermatitis
C0011620	Stasis dermatitis
C0011630	Dermatomycoses
C0011633	Dermatomyositis
C0011636	Dermatophytosis
C0011644	Scleroderma
C0011645	Dermatosis Papulosa Nigra
C0011649	Dermoid Cyst
C0011757	Developmental Coordination Disorder
C0011813	Dextrocardia
C0011847	Diabetes
C0011848	Diabetes Insipidus
C0011849	Diabetes Mellitus
C0011853	Diabetes Mellitus, Experimental
C0011854	Diabetes Mellitus, Insulin-Dependent
C0011859	Lipoatrophic Diabetes Mellitus
C0011860	Diabetes Mellitus, Non-Insulin-Dependent
C0011871	Diabetic peripheral angiopathy
C0011875	Diabetic Angiopathies
C0011876	Cataract due to diabetes mellitus
C0011880	Diabetic Ketoacidosis
C0011881	Diabetic Nephropathy
C0011882	Diabetic Neuropathies
C0011884	Diabetic Retinopathy
C0011904	Diagnostic Techniques, Cardiovascular
C0011981	Diaphragmatic Eventration
C0011989	Camurati-Engelmann Syndrome
C0011991	Diarrhea
C0011992	Infantile Diarrhea
C0011993	Vipoma
C0011998	Diastema of Teeth
C0011999	Diastematomyelia
C0012118	Dictyocaulus Infections
C0012236	DiGeorge Syndrome
C0012241	Congenital anomaly of gastrointestinal tract
C0012242	Digestive System Disorders
C0012243	Digestive System Neoplasms
C0012359	Pathological Dilatation
C0012546	Diphtheria
C0012569	Diplopia
C0012602	Dirofilariasis
C0012619	disc disorder
C0012624	Discitis
C0012684	Blastocyst Disintegration
C0012714	Disorder of copper metabolism
C0012715	Iron Metabolism Disorders
C0012716	Disorder of magnesium metabolism
C0012734	Disruptive Behavior Disorder
C0012736	Dissecting aortic aneurysm
C0012739	Disseminated Intravascular Coagulation
C0012746	Dissociative disorder
C0012754	Distemper
C0012767	Tooth eruption disorder
C0012811	Colon diverticulum anatomic structure
C0012813	Diverticulitis
C0012814	Colonic Diverticulitis
C0012817	Diverticulum
C0012819	Diverticular disease of colon
C0012833	Dizziness
C0013069	Double Outlet Right Ventricle
C0013080	Down Syndrome
C0013124	Drinking behavior processes
C0013132	Drooling
C0013144	Drowsiness
C0013146	Drug abuse
C0013170	Drug habituation
C0013182	Drug Allergy
C0013221	Drug toxicity
C0013222	Drug Use Disorders
C0013238	Dry Eye Syndromes
C0013261	Duane Retraction Syndrome
C0013264	Muscular Dystrophy, Duchenne
C0013274	Patent ductus arteriosus
C0013288	Dumping Syndrome
C0013289	Duodenal Diseases
C0013291	Duodenal Neoplasms
C0013295	Duodenal Ulcer
C0013298	Duodenitis
C0013312	Dupuytren Contracture
C0013336	Dwarfism
C0013338	Pituitary dwarfism
C0013362	Dysarthria
C0013363	Dysautonomia
C0013364	Dysautonomia, Familial
C0013366	Dyschondroplasias
C0013369	Dysentery
C0013370	Amebic colitis
C0013371	Shigella Infections
C0013374	Dysgammaglobulinemia
C0013375	Dysganglionosis
C0013377	Dysgerminoma
C0013384	Dyskinetic syndrome
C0013386	Dyskinesia, Drug-Induced
C0013390	Dysmenorrhea
C0013393	Dysostoses
C0013394	Dyspareunia (female)
C0013395	Dyspepsia
C0013403	Dysplastic Nevus Syndrome
C0013404	Dyspnea
C0013405	Dyspnea, Paroxysmal
C0013409	Dyssocial Behavior
C0013415	Dysthymic Disorder
C0013421	Dystonia
C0013423	Dystonia Musculorum Deformans
C0013426	Dystrophy of vulva
C0013428	Dysuria
C0013447	Ear Diseases
C0013449	Ear Neoplasms
C0013456	Earache
C0013467	East Coast Fever
C0013473	Eating Disorders
C0013481	Ebstein Anomaly
C0013491	Ecchymosis
C0013502	Echinococcosis
C0013504	Echinococcosis, Hepatic
C0013505	Echinococcosis, Pulmonary
C0013528	Echolalia
C0013533	Echovirus Infections
